#
# 3-day summary product timeseries for sevilletanewgrass
#
# Site: sevilletanewgrass
# Veg Type: GR
# ROI ID Number: 1000
# Lat: 34.358
# Lon: -106.6799
# Elev: 1603
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-01-05
# Creation Time: 16:58:41
# Update Date: 2022-05-03
# Update Time: 06:01:26
# Final Processing Date:: 2022-05-03
# Final Processing Time:: 14:12:27
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2018-09-08,2018,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31451,0.31445,0.31674,0.31831,0.48158,0.48234,0.49097,0.50113,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-09,2018,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31476,0.3148,0.31694,0.31841,0.48139,0.48182,0.49092,0.50082,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-10,2018,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.315,0.31514,0.31715,0.31852,0.48115,0.48126,0.49081,0.50044,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-11,2018,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31525,0.31549,0.31737,0.31864,0.48085,0.48064,0.49063,0.49996,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-12,2018,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3155,0.31583,0.31759,0.31878,0.48049,0.47998,0.49037,0.49941,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-13,2018,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31573,0.31616,0.31781,0.31893,0.4801,0.47931,0.49007,0.49882,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-14,2018,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31595,0.31646,0.31801,0.31906,0.47971,0.47866,0.48976,0.4982,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-15,2018,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31616,0.31675,0.31821,0.3192,0.4793,0.47801,0.48941,0.49754,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-16,2018,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31637,0.31703,0.31842,0.31936,0.47884,0.47734,0.48901,0.4968,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-17,2018,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31656,0.31729,0.31862,0.31952,0.47836,0.47666,0.48858,0.49601,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-18,2018,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31674,0.31753,0.3188,0.31967,0.47787,0.476,0.48812,0.4952,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-19,2018,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31689,0.31773,0.31896,0.31981,0.47741,0.47539,0.48767,0.49442,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-20,2018,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31701,0.31788,0.31909,0.31992,0.47699,0.47486,0.48723,0.49368,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-21,2018,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31713,0.31802,0.31922,0.32004,0.47648,0.47427,0.48666,0.49282,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-22,2018,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31726,0.31816,0.31938,0.32021,0.4758,0.47355,0.48587,0.49174,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-23,2018,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31738,0.31829,0.31953,0.32039,0.47505,0.47279,0.48498,0.49057,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-24,2018,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31748,0.31838,0.31965,0.32054,0.47433,0.47208,0.4841,0.48944,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-25,2018,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31752,0.31841,0.31972,0.32064,0.47376,0.47151,0.48334,0.48851,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-26,2018,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3175,0.31837,0.31972,0.32065,0.47343,0.47118,0.48281,0.4879,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-27,2018,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31734,0.31815,0.31958,0.32053,0.47343,0.47129,0.48251,0.4876,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-28,2018,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3171,0.3178,0.31935,0.32032,0.47363,0.47169,0.4823,0.48744,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-29,2018,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31689,0.31751,0.31914,0.32013,0.47379,0.47195,0.48215,0.48737,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-09-30,2018,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31667,0.31726,0.31894,0.31993,0.47403,0.47218,0.48218,0.48755,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-01,2018,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31636,0.3169,0.31864,0.31963,0.47456,0.47269,0.48246,0.48808,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-02,2018,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.316,0.31649,0.31829,0.31928,0.47524,0.47335,0.48289,0.4888,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-03,2018,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31563,0.31607,0.31793,0.31891,0.47594,0.47403,0.48336,0.48959,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-04,2018,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31528,0.31568,0.3176,0.31857,0.47654,0.47461,0.48377,0.4903,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-05,2018,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31499,0.31538,0.31733,0.31829,0.47691,0.47495,0.48401,0.4908,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-06,2018,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31474,0.31515,0.31711,0.31803,0.47718,0.47514,0.48421,0.49127,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-07,2018,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31448,0.31495,0.3169,0.31774,0.47752,0.47532,0.48453,0.4919,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-08,2018,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31421,0.31477,0.31668,0.31744,0.47786,0.47547,0.48488,0.49258,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-09,2018,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31396,0.3146,0.31648,0.31716,0.47813,0.47556,0.48519,0.49323,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-10,2018,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31373,0.31444,0.3163,0.31691,0.47827,0.47555,0.48536,0.49374,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-11,2018,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31354,0.31428,0.31614,0.31672,0.47818,0.47541,0.48531,0.494,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-12,2018,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31343,0.3142,0.31608,0.31665,0.47763,0.47479,0.48485,0.49395,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-13,2018,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31338,0.31421,0.3161,0.31665,0.47675,0.47379,0.48413,0.49371,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-14,2018,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31329,0.31413,0.31606,0.31661,0.47608,0.4731,0.48359,0.49354,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-15,2018,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31316,0.31396,0.31595,0.31654,0.47547,0.47266,0.48307,0.49327,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-16,2018,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31306,0.31376,0.31586,0.31653,0.47454,0.47205,0.48226,0.49272,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-17,2018,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31296,0.31353,0.31578,0.31654,0.47348,0.47139,0.48133,0.49202,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-18,2018,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31286,0.3133,0.31568,0.31654,0.47249,0.47083,0.48046,0.49133,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-19,2018,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31274,0.31305,0.31555,0.3165,0.47174,0.4705,0.47984,0.49081,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-20,2018,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31259,0.31281,0.31537,0.31638,0.47145,0.47053,0.47966,0.49059,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-21,2018,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3124,0.31254,0.31513,0.31618,0.47154,0.47091,0.47985,0.49061,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-22,2018,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31219,0.31224,0.31484,0.31594,0.4718,0.4715,0.48024,0.49069,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-23,2018,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31197,0.31193,0.31452,0.31567,0.47221,0.47225,0.48077,0.49084,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-24,2018,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31174,0.31161,0.31419,0.31538,0.47274,0.4731,0.48142,0.49108,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-25,2018,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31151,0.31132,0.31387,0.3151,0.47337,0.474,0.48214,0.49141,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-26,2018,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3113,0.31107,0.31359,0.31484,0.47408,0.47487,0.48289,0.49184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-27,2018,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31104,0.31082,0.31326,0.31451,0.47534,0.47617,0.48417,0.49266,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-28,2018,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31074,0.31055,0.31287,0.31409,0.47708,0.47787,0.48592,0.49377,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-29,2018,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31049,0.31033,0.31255,0.31377,0.47844,0.47923,0.48729,0.49468,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-30,2018,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31028,0.31014,0.31229,0.31351,0.47959,0.48037,0.48837,0.49553,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-10-31,2018,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31004,0.30996,0.31201,0.31322,0.48107,0.4818,0.48974,0.49668,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-01,2018,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3098,0.30978,0.31173,0.31292,0.48269,0.48331,0.49122,0.49794,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-02,2018,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30958,0.30963,0.31148,0.31265,0.48424,0.48476,0.49261,0.49915,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-03,2018,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3094,0.30951,0.31128,0.31244,0.4855,0.48594,0.49374,0.50013,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-04,2018,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30929,0.30942,0.31114,0.31234,0.48627,0.48668,0.49441,0.5007,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-05,2018,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30928,0.30939,0.31109,0.31238,0.48648,0.4869,0.49453,0.50084,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-06,2018,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30934,0.30942,0.31113,0.31256,0.48628,0.48673,0.49423,0.50072,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-07,2018,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30944,0.30947,0.31121,0.31282,0.48584,0.48631,0.49368,0.50041,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-08,2018,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30957,0.30955,0.31131,0.31309,0.4853,0.48581,0.49304,0.50003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-09,2018,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30968,0.30961,0.31139,0.31332,0.48483,0.48537,0.49247,0.49967,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-10,2018,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30975,0.30964,0.31142,0.31344,0.48457,0.48515,0.49213,0.49942,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-11,2018,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30984,0.30969,0.31146,0.31353,0.48425,0.48488,0.49173,0.49899,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-12,2018,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30997,0.30977,0.31152,0.31364,0.48371,0.48443,0.49111,0.49831,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-13,2018,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31006,0.30982,0.31156,0.31372,0.48332,0.48412,0.49067,0.49782,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-14,2018,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3101,0.30983,0.31156,0.31373,0.48313,0.48404,0.49047,0.49755,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-15,2018,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31013,0.30984,0.31155,0.31371,0.48298,0.484,0.4903,0.49722,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-16,2018,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31016,0.30985,0.31154,0.31366,0.48284,0.484,0.49016,0.49688,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-17,2018,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31018,0.30986,0.31153,0.31362,0.48268,0.48399,0.49003,0.49654,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-18,2018,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3102,0.30987,0.31153,0.3136,0.48248,0.48396,0.48992,0.49625,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-19,2018,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31022,0.30988,0.31154,0.31361,0.48222,0.48388,0.48983,0.49601,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-20,2018,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3103,0.30998,0.3116,0.31371,0.48168,0.48338,0.48914,0.49518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-21,2018,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31047,0.31023,0.31172,0.31392,0.48079,0.48226,0.48753,0.49333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-22,2018,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3107,0.31056,0.3119,0.31419,0.47968,0.48078,0.48537,0.49089,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-23,2018,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31095,0.31093,0.31209,0.31449,0.47851,0.47918,0.48304,0.48829,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-11-24,2018,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31119,0.31127,0.31228,0.31477,0.47744,0.47771,0.48091,0.48593,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
